instrument_name,strike_price,expiry_date,side,bid/ask
NIFTY,12000,25-Jun-2026,PE,20.05
NIFTY,12000,31-Dec-2026,PE,20.05
NIFTY,13000,24-Dec-2025,PE,20.05
NIFTY,13000,31-Dec-2026,PE,20.05
NIFTY,14000,26-Dec-2024,PE,5.15
NIFTY,14000,26-Dec-2024,CE,11073.0
NIFTY,14000,26-Jun-2025,PE,20.05
NIFTY,14000,25-Jun-2026,PE,20.05
NIFTY,14000,31-Dec-2026,PE,20.2
NIFTY,15000,26-Dec-2024,PE,4.8
NIFTY,15000,26-Dec-2024,CE,10091.75
NIFTY,15000,26-Jun-2025,PE,20.05
NIFTY,15000,24-Dec-2025,PE,20.05
NIFTY,15000,25-Jun-2026,PE,20.25
NIFTY,15000,31-Dec-2026,PE,20.75
NIFTY,15000,30-Dec-2027,PE,22.25
NIFTY,16000,26-Dec-2024,PE,5.1
NIFTY,16000,26-Dec-2024,CE,8370.8
NIFTY,16000,26-Jun-2025,PE,20.05
NIFTY,16000,24-Dec-2025,PE,20.25
NIFTY,16000,25-Jun-2026,PE,21.05
NIFTY,16000,31-Dec-2026,PE,22.45
NIFTY,16500,24-Dec-2025,PE,20.5
NIFTY,17000,26-Dec-2024,PE,6.8
NIFTY,17000,26-Dec-2024,CE,7976.85
NIFTY,17000,26-Jun-2025,CE,0.0
NIFTY,17000,24-Dec-2025,PE,21.05
NIFTY,17000,24-Dec-2025,CE,9200.0
NIFTY,17000,31-Dec-2026,PE,26.75
NIFTY,17000,30-Dec-2027,PE,32.75
NIFTY,18000,26-Dec-2024,PE,8.1
NIFTY,18000,26-Dec-2024,CE,6413.95
NIFTY,18000,26-Jun-2025,PE,20.5
NIFTY,18000,24-Dec-2025,PE,24.15
NIFTY,18000,24-Dec-2025,CE,7851.85
NIFTY,18000,31-Dec-2026,PE,36.5
NIFTY,18000,24-Jun-2027,PE,41.65
NIFTY,18000,30-Dec-2027,PE,46.05
NIFTY,19000,26-Dec-2024,PE,14.5
NIFTY,19000,26-Dec-2024,CE,5456.2
NIFTY,19000,27-Mar-2025,PE,20.35
NIFTY,19000,26-Jun-2025,PE,22.8
NIFTY,19000,25-Sep-2025,PE,27.4
NIFTY,19000,24-Dec-2025,PE,33.2
NIFTY,19000,24-Dec-2025,CE,0.0
NIFTY,19000,25-Jun-2026,PE,45.3
NIFTY,19000,31-Dec-2026,PE,56.15
NIFTY,19000,24-Jun-2027,PE,63.5
NIFTY,19000,30-Dec-2027,PE,69.15
NIFTY,19000,29-Jun-2028,PE,73.65
NIFTY,19000,28-Dec-2028,PE,76.3
NIFTY,19000,28-Jun-2029,PE,77.15
NIFTY,19500,24-Dec-2025,CE,0.0
NIFTY,20000,26-Dec-2024,PE,21.2
NIFTY,20000,26-Dec-2024,CE,4460.0
NIFTY,20000,27-Mar-2025,PE,60.25
NIFTY,20000,27-Mar-2025,CE,5555.05
NIFTY,20000,26-Jun-2025,PE,31.95
NIFTY,20000,25-Sep-2025,PE,43.65
NIFTY,20000,24-Dec-2025,PE,180.55
NIFTY,20000,24-Dec-2025,CE,6199.8
NIFTY,20000,31-Dec-2026,PE,99.9
NIFTY,20000,24-Jun-2027,PE,112.85
NIFTY,20000,30-Dec-2027,PE,121.05
NIFTY,20000,29-Jun-2028,PE,124.75
NIFTY,20000,28-Dec-2028,PE,125.4
NIFTY,20000,28-Jun-2029,PE,124.0
NIFTY,21000,26-Dec-2024,PE,31.8
NIFTY,21000,26-Dec-2024,CE,3505.0
NIFTY,21000,27-Mar-2025,PE,90.2
NIFTY,21000,27-Mar-2025,CE,4785.0
NIFTY,21000,26-Jun-2025,PE,59.95
NIFTY,21000,25-Sep-2025,PE,88.45
NIFTY,21000,24-Dec-2025,PE,116.7
NIFTY,21000,24-Dec-2025,CE,0.0
NIFTY,21000,25-Jun-2026,PE,157.15
NIFTY,21000,31-Dec-2026,PE,182.35
NIFTY,21000,24-Jun-2027,PE,194.75
NIFTY,21000,30-Dec-2027,PE,200.2
NIFTY,21000,29-Jun-2028,PE,199.95
NIFTY,21000,28-Dec-2028,PE,196.25
NIFTY,21000,28-Jun-2029,PE,190.05
NIFTY,22000,26-Dec-2024,PE,61.1
NIFTY,22000,26-Dec-2024,CE,2551.5
NIFTY,22000,27-Mar-2025,PE,156.15
NIFTY,22000,27-Mar-2025,CE,2979.25
NIFTY,22000,26-Jun-2025,PE,206.05
NIFTY,22000,25-Sep-2025,PE,203.0
NIFTY,22000,24-Dec-2025,PE,370.0
NIFTY,22000,24-Dec-2025,CE,0.0
NIFTY,22000,25-Jun-2026,PE,287.6
NIFTY,22000,31-Dec-2026,PE,310.0
NIFTY,22000,24-Jun-2027,PE,316.5
NIFTY,22000,30-Dec-2027,PE,313.95
NIFTY,22000,29-Jun-2028,PE,305.65
NIFTY,22000,28-Dec-2028,PE,293.9
NIFTY,22000,28-Jun-2029,PE,280.0
NIFTY,22450,07-Nov-2024,PE,1.9
NIFTY,22450,07-Nov-2024,CE,1886.1
NIFTY,22450,14-Nov-2024,PE,5.7
NIFTY,22450,14-Nov-2024,CE,2017.55
NIFTY,22450,21-Nov-2024,PE,12.0
NIFTY,22450,21-Nov-2024,CE,2152.4
NIFTY,22450,28-Nov-2024,PE,33.1
NIFTY,22450,28-Nov-2024,CE,1947.0
NIFTY,22450,05-Dec-2024,PE,11.0
NIFTY,22450,26-Dec-2024,PE,43.15
NIFTY,22450,26-Dec-2024,CE,2365.1
NIFTY,22450,30-Jan-2025,PE,119.7
NIFTY,22500,07-Nov-2024,PE,1.85
NIFTY,22500,07-Nov-2024,CE,1807.05
NIFTY,22500,14-Nov-2024,PE,7.05
NIFTY,22500,14-Nov-2024,CE,1965.6
NIFTY,22500,21-Nov-2024,PE,18.45
NIFTY,22500,21-Nov-2024,CE,2097.75
NIFTY,22500,28-Nov-2024,PE,36.0
NIFTY,22500,28-Nov-2024,CE,1900.65
NIFTY,22500,05-Dec-2024,PE,12.1
NIFTY,22500,26-Dec-2024,PE,96.1
NIFTY,22500,26-Dec-2024,CE,2291.25
NIFTY,22500,30-Jan-2025,PE,130.0
NIFTY,22550,07-Nov-2024,PE,1.75
NIFTY,22550,07-Nov-2024,CE,1786.45
NIFTY,22550,14-Nov-2024,PE,6.3
NIFTY,22550,14-Nov-2024,CE,1916.8
NIFTY,22550,21-Nov-2024,PE,12.0
NIFTY,22550,21-Nov-2024,CE,2068.25
NIFTY,22550,28-Nov-2024,PE,24.85
NIFTY,22550,28-Nov-2024,CE,1983.75
NIFTY,22550,05-Dec-2024,PE,11.1
NIFTY,22550,26-Dec-2024,PE,36.1
NIFTY,22550,26-Dec-2024,CE,2286.05
NIFTY,22550,30-Jan-2025,PE,64.1
NIFTY,22600,07-Nov-2024,PE,1.9
NIFTY,22600,07-Nov-2024,CE,1734.0
NIFTY,22600,14-Nov-2024,PE,6.5
NIFTY,22600,14-Nov-2024,CE,1866.15
NIFTY,22600,21-Nov-2024,PE,12.0
NIFTY,22600,21-Nov-2024,CE,2013.45
NIFTY,22600,28-Nov-2024,PE,25.7
NIFTY,22600,28-Nov-2024,CE,1931.7
NIFTY,22600,05-Dec-2024,PE,13.1
NIFTY,22600,26-Dec-2024,PE,55.1
NIFTY,22600,26-Dec-2024,CE,2236.65
NIFTY,22600,30-Jan-2025,PE,68.1
NIFTY,22650,07-Nov-2024,PE,2.1
NIFTY,22650,07-Nov-2024,CE,1686.8
NIFTY,22650,14-Nov-2024,PE,8.15
NIFTY,22650,14-Nov-2024,CE,1816.05
NIFTY,22650,21-Nov-2024,PE,12.0
NIFTY,22650,21-Nov-2024,CE,1959.05
NIFTY,22650,28-Nov-2024,PE,26.3
NIFTY,22650,28-Nov-2024,CE,1878.7
NIFTY,22650,05-Dec-2024,PE,13.5
NIFTY,22650,26-Dec-2024,PE,54.5
NIFTY,22650,26-Dec-2024,CE,2188.55
NIFTY,22650,30-Jan-2025,PE,73.1
NIFTY,22700,07-Nov-2024,PE,2.15
NIFTY,22700,07-Nov-2024,CE,1637.05
NIFTY,22700,14-Nov-2024,PE,10.55
NIFTY,22700,14-Nov-2024,CE,1765.5
NIFTY,22700,21-Nov-2024,PE,12.1
NIFTY,22700,21-Nov-2024,CE,1904.45
NIFTY,22700,28-Nov-2024,PE,46.1
NIFTY,22700,28-Nov-2024,CE,1779.15
NIFTY,22700,05-Dec-2024,PE,18.1
NIFTY,22700,26-Dec-2024,PE,79.4
NIFTY,22700,26-Dec-2024,CE,2136.25
NIFTY,22700,30-Jan-2025,PE,81.1
