instrument_name,strike_price,expiry_date,side,bid/ask,margin_required,premium_earned
NIFTY,12000,25-Jun-2026,PE,20.05,1950,1503.75
NIFTY,12000,31-Dec-2026,PE,20.05,1950,1503.75
NIFTY,13000,24-Dec-2025,PE,20.05,1950,1503.75
NIFTY,13000,31-Dec-2026,PE,20.05,1950,1503.75
NIFTY,14000,26-Dec-2024,PE,5.15,1950,386.25
NIFTY,14000,26-Dec-2024,CE,11073.0,2300,830475.0
NIFTY,14000,26-Jun-2025,PE,20.05,1950,1503.75
NIFTY,14000,25-Jun-2026,PE,20.05,1950,1503.75
NIFTY,14000,31-Dec-2026,PE,20.2,1950,1515.0
NIFTY,15000,26-Dec-2024,PE,4.8,1950,360.0
NIFTY,15000,26-Dec-2024,CE,10091.75,2300,756881.25
NIFTY,15000,26-Jun-2025,PE,20.05,1950,1503.75
NIFTY,15000,24-Dec-2025,PE,20.05,1950,1503.75
NIFTY,15000,25-Jun-2026,PE,20.25,1950,1518.75
NIFTY,15000,31-Dec-2026,PE,20.75,1950,1556.25
NIFTY,15000,30-Dec-2027,PE,22.25,1950,1668.75
NIFTY,16000,26-Dec-2024,PE,5.1,1950,382.5
NIFTY,16000,26-Dec-2024,CE,8370.8,2300,627810.0
NIFTY,16000,26-Jun-2025,PE,20.05,1950,1503.75
NIFTY,16000,24-Dec-2025,PE,20.25,1950,1518.75
NIFTY,16000,25-Jun-2026,PE,21.05,1950,1578.75
NIFTY,16000,31-Dec-2026,PE,22.45,1950,1683.75
NIFTY,16500,24-Dec-2025,PE,20.5,1950,1537.5
NIFTY,17000,26-Dec-2024,PE,6.8,1950,510.0
NIFTY,17000,26-Dec-2024,CE,7976.85,2300,598263.75
NIFTY,17000,26-Jun-2025,CE,0.0,2300,0.0
NIFTY,17000,24-Dec-2025,PE,21.05,1950,1578.75
NIFTY,17000,24-Dec-2025,CE,9200.0,2300,690000.0
NIFTY,17000,31-Dec-2026,PE,26.75,1950,2006.25
NIFTY,17000,30-Dec-2027,PE,32.75,1950,2456.25
NIFTY,18000,26-Dec-2024,PE,8.1,1950,607.5
NIFTY,18000,26-Dec-2024,CE,6413.95,2300,481046.25
NIFTY,18000,26-Jun-2025,PE,20.5,1950,1537.5
NIFTY,18000,24-Dec-2025,PE,24.15,1950,1811.25
NIFTY,18000,24-Dec-2025,CE,7851.85,2300,588888.75
NIFTY,18000,31-Dec-2026,PE,36.5,1950,2737.5
NIFTY,18000,24-Jun-2027,PE,41.65,1950,3123.75
NIFTY,18000,30-Dec-2027,PE,46.05,1950,3453.75
NIFTY,19000,26-Dec-2024,PE,14.5,1950,1087.5
NIFTY,19000,26-Dec-2024,CE,5456.2,2300,409215.0
NIFTY,19000,27-Mar-2025,PE,20.35,1950,1526.25
NIFTY,19000,26-Jun-2025,PE,22.8,1950,1710.0
NIFTY,19000,25-Sep-2025,PE,27.4,1950,2055.0
NIFTY,19000,24-Dec-2025,PE,33.2,1950,2490.0
NIFTY,19000,24-Dec-2025,CE,0.0,2300,0.0
NIFTY,19000,25-Jun-2026,PE,45.3,1950,3397.5
NIFTY,19000,31-Dec-2026,PE,56.15,1950,4211.25
NIFTY,19000,24-Jun-2027,PE,63.5,1950,4762.5
NIFTY,19000,30-Dec-2027,PE,69.15,1950,5186.25
NIFTY,19000,29-Jun-2028,PE,73.65,1950,5523.75
NIFTY,19000,28-Dec-2028,PE,76.3,1950,5722.5
NIFTY,19000,28-Jun-2029,PE,77.15,1950,5786.25
NIFTY,19500,24-Dec-2025,CE,0.0,2300,0.0
NIFTY,20000,26-Dec-2024,PE,21.2,1950,1590.0
NIFTY,20000,26-Dec-2024,CE,4460.0,2300,334500.0
NIFTY,20000,27-Mar-2025,PE,60.25,1950,4518.75
NIFTY,20000,27-Mar-2025,CE,5555.05,2300,416628.75
NIFTY,20000,26-Jun-2025,PE,31.95,1950,2396.25
NIFTY,20000,25-Sep-2025,PE,43.65,1950,3273.75
NIFTY,20000,24-Dec-2025,PE,180.55,1950,13541.25
NIFTY,20000,24-Dec-2025,CE,6199.8,2300,464985.0
NIFTY,20000,31-Dec-2026,PE,99.9,1950,7492.5
NIFTY,20000,24-Jun-2027,PE,112.85,1950,8463.75
NIFTY,20000,30-Dec-2027,PE,121.05,1950,9078.75
NIFTY,20000,29-Jun-2028,PE,124.75,1950,9356.25
NIFTY,20000,28-Dec-2028,PE,125.4,1950,9405.0
NIFTY,20000,28-Jun-2029,PE,124.0,1950,9300.0
NIFTY,21000,26-Dec-2024,PE,31.8,1950,2385.0
NIFTY,21000,26-Dec-2024,CE,3505.0,2300,262875.0
NIFTY,21000,27-Mar-2025,PE,90.2,1950,6765.0
NIFTY,21000,27-Mar-2025,CE,4785.0,2300,358875.0
NIFTY,21000,26-Jun-2025,PE,59.95,1950,4496.25
NIFTY,21000,25-Sep-2025,PE,88.45,1950,6633.75
NIFTY,21000,24-Dec-2025,PE,116.7,1950,8752.5
NIFTY,21000,24-Dec-2025,CE,0.0,2300,0.0
NIFTY,21000,25-Jun-2026,PE,157.15,1950,11786.25
NIFTY,21000,31-Dec-2026,PE,182.35,1950,13676.25
NIFTY,21000,24-Jun-2027,PE,194.75,1950,14606.25
NIFTY,21000,30-Dec-2027,PE,200.2,1950,15015.0
NIFTY,21000,29-Jun-2028,PE,199.95,1950,14996.25
NIFTY,21000,28-Dec-2028,PE,196.25,1950,14718.75
NIFTY,21000,28-Jun-2029,PE,190.05,1950,14253.75
NIFTY,22000,26-Dec-2024,PE,61.1,1950,4582.5
NIFTY,22000,26-Dec-2024,CE,2551.5,2300,191362.5
NIFTY,22000,27-Mar-2025,PE,156.15,1950,11711.25
NIFTY,22000,27-Mar-2025,CE,2979.25,2300,223443.75
NIFTY,22000,26-Jun-2025,PE,206.05,1950,15453.75
NIFTY,22000,25-Sep-2025,PE,203.0,1950,15225.0
NIFTY,22000,24-Dec-2025,PE,370.0,1950,27750.0
NIFTY,22000,24-Dec-2025,CE,0.0,2300,0.0
NIFTY,22000,25-Jun-2026,PE,287.6,1950,21570.0
NIFTY,22000,31-Dec-2026,PE,310.0,1950,23250.0
NIFTY,22000,24-Jun-2027,PE,316.5,1950,23737.5
NIFTY,22000,30-Dec-2027,PE,313.95,1950,23546.25
NIFTY,22000,29-Jun-2028,PE,305.65,1950,22923.75
NIFTY,22000,28-Dec-2028,PE,293.9,1950,22042.5
NIFTY,22000,28-Jun-2029,PE,280.0,1950,21000.0
NIFTY,22450,07-Nov-2024,PE,1.9,1950,142.5
NIFTY,22450,07-Nov-2024,CE,1886.1,2300,141457.5
NIFTY,22450,14-Nov-2024,PE,5.7,1950,427.5
NIFTY,22450,14-Nov-2024,CE,2017.55,2300,151316.25
NIFTY,22450,21-Nov-2024,PE,12.0,1950,900.0
NIFTY,22450,21-Nov-2024,CE,2152.4,2300,161430.0
NIFTY,22450,28-Nov-2024,PE,33.1,1950,2482.5
NIFTY,22450,28-Nov-2024,CE,1947.0,2300,146025.0
NIFTY,22450,05-Dec-2024,PE,11.0,1950,825.0
NIFTY,22450,26-Dec-2024,PE,43.15,1950,3236.25
NIFTY,22450,26-Dec-2024,CE,2365.1,2300,177382.5
NIFTY,22450,30-Jan-2025,PE,119.7,1950,8977.5
NIFTY,22500,07-Nov-2024,PE,1.85,1950,138.75
NIFTY,22500,07-Nov-2024,CE,1807.05,2300,135528.75
NIFTY,22500,14-Nov-2024,PE,7.05,1950,528.75
NIFTY,22500,14-Nov-2024,CE,1965.6,2300,147420.0
NIFTY,22500,21-Nov-2024,PE,18.45,1950,1383.75
NIFTY,22500,21-Nov-2024,CE,2097.75,2300,157331.25
NIFTY,22500,28-Nov-2024,PE,36.0,1950,2700.0
NIFTY,22500,28-Nov-2024,CE,1900.65,2300,142548.75
NIFTY,22500,05-Dec-2024,PE,12.1,1950,907.5
NIFTY,22500,26-Dec-2024,PE,96.1,1950,7207.5
NIFTY,22500,26-Dec-2024,CE,2291.25,2300,171843.75
NIFTY,22500,30-Jan-2025,PE,130.0,1950,9750.0
NIFTY,22550,07-Nov-2024,PE,1.75,1950,131.25
NIFTY,22550,07-Nov-2024,CE,1786.45,2300,133983.75
NIFTY,22550,14-Nov-2024,PE,6.3,1950,472.5
NIFTY,22550,14-Nov-2024,CE,1916.8,2300,143760.0
NIFTY,22550,21-Nov-2024,PE,12.0,1950,900.0
NIFTY,22550,21-Nov-2024,CE,2068.25,2300,155118.75
NIFTY,22550,28-Nov-2024,PE,24.85,1950,1863.75
NIFTY,22550,28-Nov-2024,CE,1983.75,2300,148781.25
NIFTY,22550,05-Dec-2024,PE,11.1,1950,832.5
NIFTY,22550,26-Dec-2024,PE,36.1,1950,2707.5
NIFTY,22550,26-Dec-2024,CE,2286.05,2300,171453.75
NIFTY,22550,30-Jan-2025,PE,64.1,1950,4807.5
NIFTY,22600,07-Nov-2024,PE,1.9,1950,142.5
NIFTY,22600,07-Nov-2024,CE,1734.0,2300,130050.0
NIFTY,22600,14-Nov-2024,PE,6.5,1950,487.5
NIFTY,22600,14-Nov-2024,CE,1866.15,2300,139961.25
NIFTY,22600,21-Nov-2024,PE,12.0,1950,900.0
NIFTY,22600,21-Nov-2024,CE,2013.45,2300,151008.75
NIFTY,22600,28-Nov-2024,PE,25.7,1950,1927.5
NIFTY,22600,28-Nov-2024,CE,1931.7,2300,144877.5
NIFTY,22600,05-Dec-2024,PE,13.1,1950,982.5
NIFTY,22600,26-Dec-2024,PE,55.1,1950,4132.5
NIFTY,22600,26-Dec-2024,CE,2236.65,2300,167748.75
NIFTY,22600,30-Jan-2025,PE,68.1,1950,5107.5
NIFTY,22650,07-Nov-2024,PE,2.1,1950,157.5
